I, [2016-11-10T02:24:47.636924 #82577]  INFO -- Kitchen: -----> Starting Kitchen (v1.11.1)
E, [2016-11-10T02:24:47.639133 #82577] ERROR -- Kitchen: ------Exception-------
E, [2016-11-10T02:24:47.639175 #82577] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-11-10T02:24:47.639189 #82577] ERROR -- Kitchen: Message: Kitchen YAML file /Users/franklinwebber/training/training-110916/.kitchen.yml does not exist.
E, [2016-11-10T02:24:47.639200 #82577] ERROR -- Kitchen: ----------------------
E, [2016-11-10T02:24:47.639211 #82577] ERROR -- Kitchen: ------Backtrace-------
E, [2016-11-10T02:24:47.639220 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-11-10T02:24:47.639231 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/config.rb:154:in `data'
E, [2016-11-10T02:24:47.639242 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/config.rb:133:in `suites'
E, [2016-11-10T02:24:47.639252 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/config.rb:184:in `filter_instances'
E, [2016-11-10T02:24:47.639262 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/config.rb:143:in `build_instances'
E, [2016-11-10T02:24:47.639282 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/config.rb:119:in `instances'
E, [2016-11-10T02:24:47.639292 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-11-10T02:24:47.639302 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-11-10T02:24:47.639312 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/command/action.rb:38:in `block in call'
E, [2016-11-10T02:24:47.639322 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2016-11-10T02:24:47.639358 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/command/action.rb:37:in `call'
E, [2016-11-10T02:24:47.639370 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/cli.rb:56:in `perform'
E, [2016-11-10T02:24:47.639380 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/cli.rb:185:in `block (2 levels) in <class:CLI>'
E, [2016-11-10T02:24:47.639390 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-11-10T02:24:47.639400 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-11-10T02:24:47.639409 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/cli.rb:326:in `invoke_task'
E, [2016-11-10T02:24:47.639419 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-11-10T02:24:47.639429 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-11-10T02:24:47.639439 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/bin/kitchen:13:in `block in <top (required)>'
E, [2016-11-10T02:24:47.639449 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/lib/kitchen/errors.rb:174:in `with_friendly_errors'
E, [2016-11-10T02:24:47.639459 #82577] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.11.1/bin/kitchen:13:in `<top (required)>'
E, [2016-11-10T02:24:47.639468 #82577] ERROR -- Kitchen: /opt/chefdk/bin//kitchen:18:in `load'
E, [2016-11-10T02:24:47.639478 #82577] ERROR -- Kitchen: /opt/chefdk/bin//kitchen:18:in `<main>'
E, [2016-11-10T02:24:47.639501 #82577] ERROR -- Kitchen: ----End Backtrace-----
